# Annotation Gene Product Summary
# Tool: Prokka
# Bins analyzed: 10
# Total CDS: 35219
# Hypothetical proteins: 20031 (56.9% of CDS)
# Annotated CDS: 15188
# Top 100 annotated gene products shown
#
rank	count	percent_of_total_cds	product	gene_name	function	keywords
93	13	0.04%	D-aminopeptidase	dap	Hydrolyzes N-terminal residues in D-amino acid-containing peptides.	Aminopeptidase|Hydrolase|Protease|Reference proteome
94	13	0.04%	Putative aliphatic sulfonates transport permease protein SsuC	ssuC	Part of a binding protein-dependent transport system for aliphatic sulfonates.	Cell membrane|Membrane|Reference proteome|Transmembrane|Transmembrane helix|Transport
95	13	0.04%	Succinate--glutarate CoA-transferase	caiB	Is involved in L-lysine degradation and provides glutaryl-CoA for biotin synthesis.	Biotin biosynthesis|Reference proteome|Transferase
96	13	0.04%	Feruloyl-CoA synthase	fcs	Catalyzes the formation of (E)-feruloyl-CoA, AMP and diphosphate from (E)-ferulate, CoA and ATP.	3D-structure|ATP-binding|Ligase|Magnesium|Metal-binding|Nucleotide-binding
97	12	0.03%	putative ABC transporter ATP-binding protein YknY	yknX	Part of an unusual four-component transporter, which is required for protection against the killing factor SdpC (sporulation-delaying protein).	Cell membrane|Coiled coil|Membrane|Reference proteome|Transmembrane|Transmembrane helix
98	12	0.03%	Aminomethyltransferase	gcvT	The glycine cleavage system catalyzes the degradation of glycine.	3D-structure|Aminotransferase|Reference proteome|Transferase
99	12	0.03%	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	lgt	Catalyzes the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the N-terminal cysteine of a prolipoprotein, the first step in the formation of mature lipopr....	Cell membrane|Membrane|Transferase|Transmembrane|Transmembrane helix
100	12	0.03%	Sulfoquinovosyl glycerol transport system permease protein SmoH	smoH	Part of the ABC transporter complex SmoEFGH involved in sulfoquinovosyl glycerol (SQGro) uptake (Probable).	Cell inner membrane|Cell membrane|Membrane|Reference proteome|Sugar transport|Transmembrane|Transmembrane helix|Transport

# Feature type summary
feature_type	count
CDS	35219
tRNA	347
rRNA	7
tmRNA	3
